0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/0.0.1/android-audio-library-0.0.1.jar returned status 404
1.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.49/android-audio-library-1.0.49.jar returned status 404
1.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.5/android-audio-library-1.0.5.jar returned status 404
1.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.50/android-audio-library-1.0.50.jar returned status 404
1.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.51/android-audio-library-1.0.51.jar returned status 404
1.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.52/android-audio-library-1.0.52.jar returned status 404
1.0.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.53/android-audio-library-1.0.53.jar returned status 404
1.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.54/android-audio-library-1.0.54.jar returned status 404
1.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.55/android-audio-library-1.0.55.jar returned status 404
1.0.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.56/android-audio-library-1.0.56.jar returned status 404
1.0.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.57/android-audio-library-1.0.57.jar returned status 404
1.0.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.58/android-audio-library-1.0.58.jar returned status 404
1.0.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.59/android-audio-library-1.0.59.jar returned status 404
1.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.6/android-audio-library-1.0.6.jar returned status 404
1.0.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.60/android-audio-library-1.0.60.jar returned status 404
1.0.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.63/android-audio-library-1.0.63.jar returned status 404
1.0.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.64/android-audio-library-1.0.64.jar returned status 404
1.0.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.65/android-audio-library-1.0.65.jar returned status 404
1.0.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.66/android-audio-library-1.0.66.jar returned status 404
1.0.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.67/android-audio-library-1.0.67.jar returned status 404
1.0.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.68/android-audio-library-1.0.68.jar returned status 404
1.0.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.69/android-audio-library-1.0.69.jar returned status 404
1.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.7/android-audio-library-1.0.7.jar returned status 404
1.0.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.70/android-audio-library-1.0.70.jar returned status 404
1.0.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.71/android-audio-library-1.0.71.jar returned status 404
1.0.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.72/android-audio-library-1.0.72.jar returned status 404
1.0.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.73/android-audio-library-1.0.73.jar returned status 404
1.0.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.74/android-audio-library-1.0.74.jar returned status 404
1.0.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.75/android-audio-library-1.0.75.jar returned status 404
1.0.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.76/android-audio-library-1.0.76.jar returned status 404
1.0.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.77/android-audio-library-1.0.77.jar returned status 404
1.0.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.78/android-audio-library-1.0.78.jar returned status 404
1.0.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.79/android-audio-library-1.0.79.jar returned status 404
1.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.8/android-audio-library-1.0.8.jar returned status 404
1.0.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.80/android-audio-library-1.0.80.jar returned status 404
1.0.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.81/android-audio-library-1.0.81.jar returned status 404
1.0.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.82/android-audio-library-1.0.82.jar returned status 404
1.0.83			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.83/android-audio-library-1.0.83.jar returned status 404
1.0.84			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.84/android-audio-library-1.0.84.jar returned status 404
1.0.85			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.85/android-audio-library-1.0.85.jar returned status 404
1.0.87			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.87/android-audio-library-1.0.87.jar returned status 404
1.0.88			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.88/android-audio-library-1.0.88.jar returned status 404
1.0.89			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.89/android-audio-library-1.0.89.jar returned status 404
1.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.9/android-audio-library-1.0.9.jar returned status 404
1.0.90			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.90/android-audio-library-1.0.90.jar returned status 404
1.0.91			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.91/android-audio-library-1.0.91.jar returned status 404
1.0.93			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.93/android-audio-library-1.0.93.jar returned status 404
1.0.94			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.94/android-audio-library-1.0.94.jar returned status 404
1.0.95			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.95/android-audio-library-1.0.95.jar returned status 404
1.0.96			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.96/android-audio-library-1.0.96.jar returned status 404
1.0.97			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.97/android-audio-library-1.0.97.jar returned status 404
1.0.98			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.98/android-audio-library-1.0.98.jar returned status 404
1.0.99			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.0.99/android-audio-library-1.0.99.jar returned status 404
1.1.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.1/android-audio-library-1.1.1.jar returned status 404
1.1.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.10/android-audio-library-1.1.10.jar returned status 404
1.1.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.11/android-audio-library-1.1.11.jar returned status 404
1.1.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.12/android-audio-library-1.1.12.jar returned status 404
1.1.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.13/android-audio-library-1.1.13.jar returned status 404
1.1.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.14/android-audio-library-1.1.14.jar returned status 404
1.1.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.15/android-audio-library-1.1.15.jar returned status 404
1.1.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.16/android-audio-library-1.1.16.jar returned status 404
1.1.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.17/android-audio-library-1.1.17.jar returned status 404
1.1.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.18/android-audio-library-1.1.18.jar returned status 404
1.1.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.19/android-audio-library-1.1.19.jar returned status 404
1.1.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.20/android-audio-library-1.1.20.jar returned status 404
1.1.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.23/android-audio-library-1.1.23.jar returned status 404
1.1.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.24/android-audio-library-1.1.24.jar returned status 404
1.1.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.25/android-audio-library-1.1.25.jar returned status 404
1.1.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.3/android-audio-library-1.1.3.jar returned status 404
1.1.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.4/android-audio-library-1.1.4.jar returned status 404
1.1.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.5/android-audio-library-1.1.5.jar returned status 404
1.1.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.6/android-audio-library-1.1.6.jar returned status 404
1.1.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.7/android-audio-library-1.1.7.jar returned status 404
1.1.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.8/android-audio-library-1.1.8.jar returned status 404
1.1.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/axet/android-audio-library/1.1.9/android-audio-library-1.1.9.jar returned status 404
