0.1.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/0.1.5/mvn-defaults-0.1.5.jar returned status 404
4.15.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.86/mvn-defaults-4.15.86.jar returned status 404
4.15.87			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.87/mvn-defaults-4.15.87.jar returned status 404
4.15.88			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.88/mvn-defaults-4.15.88.jar returned status 404
4.15.89			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.89/mvn-defaults-4.15.89.jar returned status 404
4.15.90			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.90/mvn-defaults-4.15.90.jar returned status 404
4.15.93			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.93/mvn-defaults-4.15.93.jar returned status 404
4.15.94			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.94/mvn-defaults-4.15.94.jar returned status 404
4.15.96			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.96/mvn-defaults-4.15.96.jar returned status 404
4.15.97			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.97/mvn-defaults-4.15.97.jar returned status 404
4.15.98			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.98/mvn-defaults-4.15.98.jar returned status 404
4.15.99			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.99/mvn-defaults-4.15.99.jar returned status 404
4.17.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.17.17/mvn-defaults-4.17.17.jar returned status 404
4.17.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.17.18/mvn-defaults-4.17.18.jar returned status 404
4.17.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.17.19/mvn-defaults-4.17.19.jar returned status 404
4.17.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.17.25/mvn-defaults-4.17.25.jar returned status 404
4.17.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.17.26/mvn-defaults-4.17.26.jar returned status 404
4.17.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.17.28/mvn-defaults-4.17.28.jar returned status 404
4.17.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.17.29/mvn-defaults-4.17.29.jar returned status 404
4.17.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.17.31/mvn-defaults-4.17.31.jar returned status 404
4.17.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.17.32/mvn-defaults-4.17.32.jar returned status 404
5.17.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/5.17.0/mvn-defaults-5.17.0.jar returned status 404
