1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.0/fdk-1.0.0.jar returned status 404
1.0.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.86/fdk-1.0.86.jar returned status 404
1.0.87			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.87/fdk-1.0.87.jar returned status 404
1.0.88			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.88/fdk-1.0.88.jar returned status 404
1.0.89			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.89/fdk-1.0.89.jar returned status 404
1.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.9/fdk-1.0.9.jar returned status 404
1.0.90			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.90/fdk-1.0.90.jar returned status 404
1.0.91			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.91/fdk-1.0.91.jar returned status 404
1.0.92			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.92/fdk-1.0.92.jar returned status 404
1.0.93			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.93/fdk-1.0.93.jar returned status 404
1.0.94			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.94/fdk-1.0.94.jar returned status 404
1.0.95			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.95/fdk-1.0.95.jar returned status 404
1.0.96			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.96/fdk-1.0.96.jar returned status 404
1.0.97			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.97/fdk-1.0.97.jar returned status 404
1.0.98			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.98/fdk-1.0.98.jar returned status 404
1.0.99			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.0.99/fdk-1.0.99.jar returned status 404
1.1.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.1.11/fdk-1.1.11.jar returned status 404
1.1.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.1.12/fdk-1.1.12.jar returned status 404
1.1.14		2026-06-09T07:07:57Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.1.14/fdk-1.1.14.jar returned status 404
1.1.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.1.19/fdk-1.1.19.jar returned status 404
1.1.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.1.2/fdk-1.1.2.jar returned status 404
1.1.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.1.3/fdk-1.1.3.jar returned status 404
1.1.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.1.4/fdk-1.1.4.jar returned status 404
1.1.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.1.5/fdk-1.1.5.jar returned status 404
1.1.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/fnproject/fn/fdk/1.1.7/fdk-1.1.7.jar returned status 404
