10.0.21	named	org.apache.tomcat	tomcat-el-api	2022-05-10T22:27:02Z	4.0
10.1.0-M16	named	org.apache.tomcat	tomcat-el-api	2022-06-02T12:19:46Z	5.0
10.0.22	named	org.apache.tomcat	tomcat-el-api	2022-06-02T17:04:17Z	4.0
4.0.0.CR1	named	org.jboss.spec.jakarta.el	jboss-el-api_5.0_spec	2022-06-10T17:48:08Z	4.0.0.CR1
5.0.1	named	jakarta.el	jakarta.el-api	2022-06-20T15:07:50Z	5.0.1
10.1.0-M17	named	org.apache.tomcat	tomcat-el-api	2022-07-13T21:15:03Z	5.0
10.0.23	named	org.apache.tomcat	tomcat-el-api	2022-07-14T09:09:15Z	4.0
10.1.0	named	org.apache.tomcat	tomcat-el-api	2022-09-23T09:38:05Z	5.0
10.0.26	named	org.apache.tomcat	tomcat-el-api	2022-09-23T11:46:58Z	4.0
10.1.1	named	org.apache.tomcat	tomcat-el-api	2022-10-03T13:11:08Z	5.0
10.0.27	named	org.apache.tomcat	tomcat-el-api	2022-10-03T15:52:53Z	4.0
4.0.0.CR2	named	org.jboss.spec.jakarta.el	jboss-el-api_5.0_spec	2022-10-21T16:17:15Z	4.0.0.CR2
4.0.0.Final	named	org.jboss.spec.jakarta.el	jboss-el-api_5.0_spec	2022-10-24T15:45:31Z	4.0.0.Final
10.1.2	named	org.apache.tomcat	tomcat-el-api	2022-11-09T17:12:18Z	5.0
11.0.0-M1	named	org.apache.tomcat	tomcat-el-api	2022-12-01T11:45:40Z	6.0
10.1.4	named	org.apache.tomcat	tomcat-el-api	2022-12-05T17:34:35Z	5.0
10.1.5	named	org.apache.tomcat	tomcat-el-api	2023-01-09T20:21:12Z	5.0
4.0.1.Final	named	org.jboss.spec.jakarta.el	jboss-el-api_5.0_spec	2023-01-25T15:56:15Z	4.0.1.Final
11.0.0-M3	named	org.apache.tomcat	tomcat-el-api	2023-02-17T18:10:05Z	6.0
10.1.6	named	org.apache.tomcat	tomcat-el-api	2023-02-19T14:04:41Z	5.0
11.0.0-M4	named	org.apache.tomcat	tomcat-el-api	2023-02-27T20:19:15Z	6.0
10.1.7	named	org.apache.tomcat	tomcat-el-api	2023-02-27T20:47:15Z	5.0
11.0.0-M5	named	org.apache.tomcat	tomcat-el-api	2023-04-12T23:16:01Z	6.0
10.1.8	named	org.apache.tomcat	tomcat-el-api	2023-04-14T20:00:06Z	5.0
11.0.0-M6	named	org.apache.tomcat	tomcat-el-api	2023-05-03T18:08:01Z	6.0
10.1.9	named	org.apache.tomcat	tomcat-el-api	2023-05-09T15:57:17Z	5.0
11.0.0-M7	named	org.apache.tomcat	tomcat-el-api	2023-06-02T16:13:09Z	6.0
10.1.10	named	org.apache.tomcat	tomcat-el-api	2023-06-02T18:34:02Z	5.0
11.0.0-M9	named	org.apache.tomcat	tomcat-el-api	2023-07-04T10:55:41Z	6.0
10.1.11	named	org.apache.tomcat	tomcat-el-api	2023-07-06T14:19:59Z	5.0
11.0.0-M10	named	org.apache.tomcat	tomcat-el-api	2023-08-08T18:13:14Z	6.0
10.1.12	named	org.apache.tomcat	tomcat-el-api	2023-08-08T19:48:50Z	5.0
11.0.0-M11	named	org.apache.tomcat	tomcat-el-api	2023-08-23T20:13:52Z	6.0
10.1.13	named	org.apache.tomcat	tomcat-el-api	2023-08-23T21:52:21Z	5.0
11.0.0-M12	named	org.apache.tomcat	tomcat-el-api	2023-10-09T21:27:44Z	6.0
10.1.14	named	org.apache.tomcat	tomcat-el-api	2023-10-09T22:11:35Z	5.0
11.0.0-M13	named	org.apache.tomcat	tomcat-el-api	2023-10-11T13:19:20Z	6.0
10.1.15	named	org.apache.tomcat	tomcat-el-api	2023-10-12T00:38:28Z	5.0
11.0.0-M14	named	org.apache.tomcat	tomcat-el-api	2023-11-09T19:43:19Z	6.0
10.1.16	named	org.apache.tomcat	tomcat-el-api	2023-11-10T16:30:27Z	5.0
6.0.0-M1	named	jakarta.el	jakarta.el-api	2023-11-15T14:12:34Z	6.0.0-M1
11.0.0-M15	named	org.apache.tomcat	tomcat-el-api	2023-12-07T15:26:26Z	6.0
10.1.17	named	org.apache.tomcat	tomcat-el-api	2023-12-08T03:08:54Z	5.0
11.0.0-M16	named	org.apache.tomcat	tomcat-el-api	2024-01-04T21:00:59Z	6.0
10.1.18	named	org.apache.tomcat	tomcat-el-api	2024-01-05T15:12:04Z	5.0
6.0.0-M2	named	jakarta.el	jakarta.el-api	2024-01-16T18:20:54Z	6.0.0-M2
11.0.0-M17	named	org.apache.tomcat	tomcat-el-api	2024-02-13T22:43:11Z	6.0
10.1.19	named	org.apache.tomcat	tomcat-el-api	2024-02-14T21:25:19Z	5.0
6.0.0-RC1	named	jakarta.el	jakarta.el-api	2024-02-22T18:08:16Z	6.0.0-RC1
6.0.0	named	jakarta.el	jakarta.el-api	2024-02-29T15:08:00Z	6.0.0
11.0.0-M18	named	org.apache.tomcat	tomcat-el-api	2024-03-09T16:50:37Z	6.0
10.1.20	named	org.apache.tomcat	tomcat-el-api	2024-03-19T13:24:48Z	5.0
11.0.0-M19	named	org.apache.tomcat	tomcat-el-api	2024-04-09T12:13:21Z	6.0
10.1.23	named	org.apache.tomcat	tomcat-el-api	2024-04-16T12:49:16Z	5.0
11.0.0-M20	named	org.apache.tomcat	tomcat-el-api	2024-05-03T16:12:35Z	6.0
10.1.23.0	named	com.heroku	webapp-runner-main	2024-05-07T11:49:11Z	5.0
10.1.24	named	org.apache.tomcat	tomcat-el-api	2024-05-09T17:52:59Z	5.0
11.0.0-M21	named	org.apache.tomcat	tomcat-el-api	2024-06-14T14:48:47Z	6.0
10.1.25	named	org.apache.tomcat	tomcat-el-api	2024-06-14T20:58:30Z	5.0
6.0.1	named	jakarta.el	jakarta.el-api	2024-07-15T15:58:00Z	6.0.1
11.0.0-M24	named	org.apache.tomcat	tomcat-el-api	2024-08-02T14:06:04Z	6.0
10.1.28	named	org.apache.tomcat	tomcat-el-api	2024-08-02T15:30:02Z	5.0
11.0.0-M25	named	org.apache.tomcat	tomcat-el-api	2024-09-05T11:44:26Z	6.0
10.1.29	named	org.apache.tomcat	tomcat-el-api	2024-09-05T16:42:00Z	5.0
11.0.0-M26	named	org.apache.tomcat	tomcat-el-api	2024-09-13T17:46:19Z	6.0
10.1.30	named	org.apache.tomcat	tomcat-el-api	2024-09-14T11:04:06Z	5.0
11.0.0	named	org.apache.tomcat	tomcat-el-api	2024-10-03T17:43:02Z	6.0
10.1.31	named	org.apache.tomcat	tomcat-el-api	2024-10-03T19:14:44Z	5.0
11.0.1	named	org.apache.tomcat	tomcat-el-api	2024-11-06T19:58:38Z	6.0
10.1.33	named	org.apache.tomcat	tomcat-el-api	2024-11-07T22:39:38Z	5.0
11.0.2	named	org.apache.tomcat	tomcat-el-api	2024-12-05T16:40:08Z	6.0
10.1.34	named	org.apache.tomcat	tomcat-el-api	2024-12-05T17:03:14Z	5.0
10.1.34.0	named	com.heroku	webapp-runner-main	2025-01-02T17:22:27Z	5.0
11.0.3	named	org.apache.tomcat	tomcat-el-api	2025-02-04T18:10:33Z	6.0
10.1.35	named	org.apache.tomcat	tomcat-el-api	2025-02-04T21:26:54Z	5.0
11.0.4	named	org.apache.tomcat	tomcat-el-api	2025-02-13T11:04:03Z	6.0
10.1.36	named	org.apache.tomcat	tomcat-el-api	2025-02-13T13:18:57Z	5.0
11.0.5	named	org.apache.tomcat	tomcat-el-api	2025-02-28T16:49:13Z	6.0
10.1.39	named	org.apache.tomcat	tomcat-el-api	2025-03-04T19:08:23Z	5.0
11.0.6	named	org.apache.tomcat	tomcat-el-api	2025-04-01T15:41:05Z	6.0
10.1.40	named	org.apache.tomcat	tomcat-el-api	2025-04-01T18:16:25Z	5.0
11.0.7	named	org.apache.tomcat	tomcat-el-api	2025-05-07T18:05:28Z	6.0
10.1.41	named	org.apache.tomcat	tomcat-el-api	2025-05-08T12:49:18Z	5.0
11.0.8	named	org.apache.tomcat	tomcat-el-api	2025-06-05T18:40:40Z	6.0
10.1.42	named	org.apache.tomcat	tomcat-el-api	2025-06-05T22:43:09Z	5.0
11.0.9	named	org.apache.tomcat	tomcat-el-api	2025-07-01T21:26:34Z	6.0
10.1.43	named	org.apache.tomcat	tomcat-el-api	2025-07-01T21:36:07Z	5.0
11.0.10	named	org.apache.tomcat	tomcat-el-api	2025-07-31T17:01:33Z	6.0
10.1.44	named	org.apache.tomcat	tomcat-el-api	2025-08-04T13:21:15Z	5.0
11.0.11	named	org.apache.tomcat	tomcat-el-api	2025-09-01T11:03:21Z	6.0
10.1.45	named	org.apache.tomcat	tomcat-el-api	2025-09-02T12:50:03Z	5.0
10.1.46	named	org.apache.tomcat	tomcat-el-api	2025-09-08T14:33:00Z	5.0
11.0.12	named	org.apache.tomcat	tomcat-el-api	2025-10-01T07:24:42Z	6.0
10.1.47	named	org.apache.tomcat	tomcat-el-api	2025-10-02T12:14:22Z	5.0
11.0.13	named	org.apache.tomcat	tomcat-el-api	2025-10-10T14:20:43Z	6.0
10.1.48	named	org.apache.tomcat	tomcat-el-api	2025-10-11T14:28:23Z	5.0
6.1.0-M1	named	jakarta.el	jakarta.el-api	2025-10-15T16:10:39Z	6.1.0-M1
4.0.2.Final	named	org.jboss.spec.jakarta.el	jboss-el-api_5.0_spec	2025-11-04T10:30:04Z	4.0.2.Final
6.0.1.Final	named	org.jboss.spec.jakarta.el	jakarta.el-api	2025-11-05T10:30:03Z	6.0.1.Final
11.0.14	named	org.apache.tomcat	tomcat-el-api	2025-11-05T19:29:34Z	6.0
10.1.49	named	org.apache.tomcat	tomcat-el-api	2025-11-06T01:36:59Z	5.0
6.0.2.Final	named	org.jboss.spec.jakarta.el	jakarta.el-api	2025-11-18T10:30:03Z	6.0.2.Final
11.0.15	named	org.apache.tomcat	tomcat-el-api	2025-12-02T18:04:20Z	6.0
10.1.50	named	org.apache.tomcat	tomcat-el-api	2025-12-02T23:02:29Z	5.0
11.0.18	named	org.apache.tomcat	tomcat-el-api	2026-01-23T11:03:48Z	6.0
10.1.52	named	org.apache.tomcat	tomcat-el-api	2026-01-23T19:36:02Z	5.0
11.0.20	named	org.apache.tomcat	tomcat-el-api	2026-03-16T17:36:44Z	6.0
10.1.53	named	org.apache.tomcat	tomcat-el-api	2026-03-18T14:01:09Z	5.0
11.0.21	named	org.apache.tomcat	tomcat-el-api	2026-03-30T15:29:58Z	6.0
10.1.54	named	org.apache.tomcat	tomcat-el-api	2026-03-30T22:38:13Z	5.0
11.0.22	named	org.apache.tomcat	tomcat-el-api	2026-05-01T20:39:10Z	6.0
10.1.55	named	org.apache.tomcat	tomcat-el-api	2026-05-05T13:39:12Z	5.0
6.1.0-M2	named	jakarta.el	jakarta.el-api	2026-05-06T10:31:59Z	6.1.0-M2
11.0.23	named	org.apache.tomcat	tomcat-el-api	2026-06-17T22:05:12Z	6.0
10.1.56	named	org.apache.tomcat	tomcat-el-api	2026-06-17T23:40:10Z	5.0
10.1.56.0	named	com.heroku	webapp-runner	2026-07-06T08:50:29Z	5.0
10.1.56.0	named	com.heroku	webapp-runner-main	2026-07-06T08:50:29Z	5.0
10.1.57	named	org.apache.tomcat	tomcat-el-api	2026-07-08T02:21:45Z	5.0
11.0.24	named	org.apache.tomcat	tomcat-el-api	2026-07-09T02:36:52Z	6.0
